Chocolate,Calories (kcal),Sugar (g),Protein (g),Carbohydrates (g),Fiber (g),Sodium (mg)
Pumpkin Spice Chocolate,548,50.94,7.48,50.28,10.35,66.94
Vanilla Bean Chocolate,593,32.33,9.35,54.31,6.97,75.08
Mango Chocolate,571,46.45,8.89,54.27,9.95,22.11
Fig Chocolate,583,39.42,9.99,67.93,9.27,123.03
Cashew Chocolate,507,41.97,4.83,62.61,7.85,29.11
Date Chocolate,524,54.85,6.11,64.41,11.86,115.2
Blueberry Chocolate,542,33.52,3.6,52.3,10.98,116.77
Cranberry Chocolate,579,49.17,9.04,53.89,10.56,115.02
Peach Chocolate,569,47.73,6.6,52.48,5.96,129.37
Passion Fruit Chocolate,531,57.48,3.0,64.28,8.13,43.79
Watermelon Chocolate,531,31.83,4.07,67.27,14.93,35.21
Pineapple Chocolate,539,50.97,9.12,52.3,9.28,62.39
Lychee Chocolate,541,49.04,4.36,53.29,14.26,82.83
Kiwi Chocolate,582,32.94,6.49,50.03,6.36,66.73
Maple Chocolate,515,53.33,8.41,59.39,11.17,98.43
Molasses Chocolate,501,32.48,7.55,52.44,11.43,79.25
Walnut Chocolate,563,32.4,6.65,57.84,11.75,131.36
Peanut Chocolate,563,48.98,7.71,66.36,7.46,140.57
Cocoa Nib Chocolate,564,36.71,6.35,51.98,14.91,143.86
Bailey's Chocolate,544,44.67,9.79,50.68,14.76,24.03
Whiskey Chocolate,578,50.4,3.68,57.2,7.02,76.04
Rum Chocolate,572,55.73,3.84,52.09,13.94,50.99
Gin Chocolate,588,43.97,6.23,54.2,14.92,88.96
Vodka Chocolate,580,58.59,8.71,51.65,6.9,30.19
Beer Chocolate,507,51.05,9.01,51.56,9.5,53.92
Tequila Chocolate,516,39.58,7.57,66.63,9.9,40.09
Cognac Chocolate,531,46.28,6.13,67.95,13.74,97.33
Coconut Almond Chocolate,582,33.79,8.89,62.21,8.52,116.4
Salted Peanut Chocolate,546,34.86,6.68,59.18,14.1,59.14
Hazelnut Raisin Chocolate,583,34.65,5.06,67.89,5.2,123.16
Choco Truffle,526,49.73,9.02,56.89,7.5,26.15
Double Chocolate Fudge,507,51.75,7.0,62.62,7.18,56.3
Cherry Truffle Chocolate,561,44.65,3.13,50.77,13.54,48.15
Chocolate Raspberry Ganache,591,51.56,5.88,57.51,11.09,40.75
Gingerbread Chocolate,548,44.1,8.74,59.48,12.08,28.8
Choco Mocha,523,39.72,8.18,62.92,8.68,65.68
Spiced Hot Chocolate,535,42.01,7.47,63.41,6.94,122.8
Brown Butter Chocolate,545,41.19,9.16,55.33,13.04,77.55
Malted Milk Chocolate,596,56.71,4.08,66.24,5.41,114.46
Salted Pistachio Chocolate,592,48.85,3.84,50.87,7.23,63.53
Almond Butter Chocolate,588,33.76,6.03,59.19,8.38,146.35
Caramelized Almond Chocolate,568,49.83,7.87,64.72,6.83,139.21
Chocolate Mousse Bar,552,32.05,7.03,56.65,9.15,21.47
Coconut Milk Chocolate,520,44.16,7.78,68.35,12.5,47.18
Chocolate Tart,512,52.92,5.96,67.57,6.76,55.63
Mint Fudge Chocolate,502,53.0,7.28,66.44,14.15,57.17
Peanut Nougat Chocolate,520,31.0,6.78,50.06,14.36,42.44
Toasted Almond Chocolate,595,33.96,8.41,53.23,5.11,71.18
Coffee Caramel Chocolate,569,45.39,3.88,58.24,12.17,101.09
Pecan Chocolate,564,49.35,7.43,52.39,12.69,102.13
Choco Orange Peel,520,44.71,3.41,60.4,13.85,104.32
Saffron Chocolate,542,55.75,5.97,65.8,6.08,46.39
Honey Chocolate,594,53.63,9.46,53.25,6.48,28.87
