Fruit,Calories (kcal),Sugar (g),Protein (g),Carbohydrates (g),Fiber (g),Sodium (mg)
Jabuticaba,89,13.11,2.74,20.0,1.52,4.57
Blackcurrant,98,5.66,2.43,10.0,3.36,0.36
Redcurrant,38,6.12,1.31,9.32,6.15,9.45
Whitecurrant,50,16.6,2.42,16.13,5.37,1.1
Sloe,33,18.74,1.37,25.93,1.29,9.5
Sorbus,99,20.2,3.4,19.0,3.74,7.92
Pawpaw,30,19.15,1.06,23.19,2.47,0.9
Medlar,44,12.32,2.89,12.22,4.25,7.46
Elderberry,30,18.69,1.97,22.32,9.84,6.66
Miracle Fruit,84,8.7,2.85,18.15,2.85,3.1
Cupuacu,48,12.41,3.39,13.18,8.23,9.87
Lucuma,39,11.16,0.6,14.63,2.88,8.29
Horned Melon,59,14.3,3.47,12.98,9.48,4.3
Pitanga,89,8.42,1.47,9.04,4.4,6.77
Quince,73,8.01,1.08,8.97,6.71,9.61
Chempedak,94,9.85,2.08,13.75,6.71,0.57
Buddha's Hand,51,13.2,3.19,16.16,8.08,5.58
Velvet Apple,33,24.89,1.13,14.61,6.74,6.81
Yantok,90,7.84,2.73,12.74,6.96,8.57
Safou,32,7.57,2.67,23.24,8.92,6.32
Mamey Sapote,79,21.64,2.89,24.67,5.44,2.6
Cedar Bay Cherry,51,19.18,3.04,24.03,4.52,7.58
Mamoncillo,68,13.44,1.09,16.12,5.65,9.19
Kei Apple,66,18.55,2.09,20.58,9.56,5.89
Desert Lime,72,21.07,1.06,15.92,5.36,9.7
Indian Plum,82,14.84,0.69,11.45,3.06,9.2
Yangmei,36,9.19,0.8,20.09,9.93,8.98
Santol,98,6.31,2.32,9.43,1.9,9.27
Bignay,93,5.96,1.04,9.8,9.38,0.86
Chokeberry,99,10.31,2.12,14.77,4.51,4.94
Indian Fig,58,12.35,0.66,19.53,9.15,8.97
Kaffir Lime,44,21.73,2.12,20.86,8.7,4.0
Osage Orange,90,12.21,1.31,9.11,6.3,7.72
Tindora,56,19.81,2.84,9.4,9.93,4.22
Monk Fruit,97,9.0,1.59,27.36,7.17,4.43
Prickly Pear,31,12.27,2.98,26.86,2.78,5.22
Gac Fruit,30,20.33,2.9,23.73,3.95,0.84
Camu Camu,74,18.25,2.05,9.29,5.19,7.35
Horned Cucumber,96,20.8,2.74,27.47,7.48,3.3
